"perm","timestep","id","parent_id","x","y","stage","birth_timestep","have_info","detected","managing","last_known_timestep"
1,10,14,5,1329.87624723156,1488.47337762524,2,8,FALSE,FALSE,FALSE,NA
1,10,15,7,1155.65082252031,1692.59972239259,2,8,FALSE,FALSE,FALSE,NA
1,10,16,4,1648.26447156108,1574.47429117602,2,9,FALSE,FALSE,FALSE,NA
1,10,17,5,1590.3274378687,1469.54991664828,1,9,FALSE,FALSE,FALSE,NA
1,10,18,5,1523.86997877857,1195.65935414681,2,9,FALSE,FALSE,FALSE,NA
1,10,19,5,1540.24026513888,1459.58941649654,2,9,FALSE,FALSE,FALSE,NA
1,10,20,7,1337.67462367795,1907.74151997416,1,9,FALSE,FALSE,FALSE,NA
1,10,21,7,1594.4375393662,1775.3995184088,2,9,FALSE,FALSE,FALSE,NA
1,10,22,9,784.690765861101,839.683701728802,1,9,FALSE,FALSE,FALSE,NA
1,10,23,9,1506.55706017366,1234.37453867278,2,9,FALSE,FALSE,FALSE,NA
1,10,24,9,1863.31588721357,1178.05084502079,1,9,FALSE,FALSE,FALSE,NA
1,10,25,11,1554.67802146486,1813.36879697323,1,9,FALSE,FALSE,FALSE,NA
1,10,26,5,1475.43841625123,1457.48314111271,1,10,FALSE,FALSE,FALSE,NA
1,10,27,9,1553.63520016337,1830.16468985257,1,10,FALSE,FALSE,FALSE,NA
1,10,28,11,1348.73946900304,1461.31322360451,1,10,FALSE,FALSE,FALSE,NA
1,10,29,11,1721.35198485995,1613.33659697605,1,10,FALSE,FALSE,FALSE,NA
1,10,30,14,1236.64312748154,1657.54221264819,1,10,FALSE,FALSE,FALSE,NA
1,10,31,15,1142.44896294395,1705.92926669867,1,10,FALSE,FALSE,FALSE,NA
1,10,32,15,725.379335178001,1905.54888735496,1,10,FALSE,FALSE,FALSE,NA
1,10,33,15,1295.33237776329,1508.39545619039,1,10,FALSE,FALSE,FALSE,NA
1,10,34,15,961.38039366982,1757.01440947146,1,10,FALSE,FALSE,FALSE,NA
1,11,4,1,1474.25620741753,1516.39056316706,2,2,FALSE,FALSE,FALSE,NA
1,11,5,1,1444.3313852092,1453.17304960665,2,2,FALSE,FALSE,FALSE,NA
1,11,9,4,1514.82197541196,1591.48941738446,2,6,FALSE,FALSE,FALSE,NA
1,11,13,4,1433.50117644731,1748.94270948081,2,8,FALSE,FALSE,FALSE,NA
1,11,14,5,1329.87624723156,1488.47337762524,2,8,FALSE,FALSE,FALSE,NA
1,11,16,4,1648.26447156108,1574.47429117602,2,9,FALSE,FALSE,FALSE,NA
1,11,17,5,1590.3274378687,1469.54991664828,1,9,FALSE,FALSE,FALSE,NA
1,11,18,5,1523.86997877857,1195.65935414681,2,9,FALSE,FALSE,FALSE,NA
1,11,19,5,1540.24026513888,1459.58941649654,2,9,FALSE,FALSE,FALSE,NA
1,11,20,7,1335.95661400001,1901.85688895907,2,9,FALSE,FALSE,FALSE,NA
1,11,22,9,769.761206551756,776.365576737845,2,9,FALSE,FALSE,FALSE,NA
1,11,23,9,1506.55706017366,1234.37453867278,2,9,FALSE,FALSE,FALSE,NA
1,11,24,9,1852.2622422083,1199.0706984636,2,9,FALSE,FALSE,FALSE,NA
1,11,25,11,1547.21873124554,1788.01580955159,2,9,FALSE,FALSE,FALSE,NA
1,11,27,9,1562.29359134906,1812.09677157641,2,10,FALSE,FALSE,FALSE,NA
1,11,28,11,1345.75067272737,1461.59030285179,2,10,FALSE,FALSE,FALSE,NA
1,11,29,11,1717.86553589625,1613.73738089727,2,10,FALSE,FALSE,FALSE,NA
1,11,31,15,1175.60763360288,1633.56068106508,2,10,FALSE,FALSE,FALSE,NA
1,11,32,15,838.081226707965,1909.13830550844,2,10,FALSE,FALSE,FALSE,NA
1,11,33,15,1295.33237776329,1508.39545619039,1,10,FALSE,FALSE,FALSE,NA
1,11,34,15,940.138917545973,1788.54211326201,2,10,FALSE,FALSE,FALSE,NA
1,11,35,5,1194.14830557052,345.204440069572,1,11,FALSE,FALSE,FALSE,NA
1,11,36,9,382.631788902113,272.910248888823,1,11,FALSE,FALSE,FALSE,NA
1,11,37,13,1422.30916093061,1849.34654948884,1,11,FALSE,FALSE,FALSE,NA
1,11,38,13,1287.25693556636,1641.49597060798,1,11,FALSE,FALSE,FALSE,NA
1,11,39,13,1563.76023779649,1587.85665996415,1,11,FALSE,FALSE,FALSE,NA
1,11,40,15,1243.40047503978,1696.02092569517,1,11,FALSE,FALSE,FALSE,NA
1,11,41,15,1155.42957139645,1578.39662050646,1,11,FALSE,FALSE,FALSE,NA
1,11,42,15,841.904942415776,2178.82931944812,1,11,FALSE,FALSE,FALSE,NA
1,11,43,15,1333.50372618023,1496.85827158686,1,11,FALSE,FALSE,FALSE,NA
1,11,44,15,1230.82240998952,2081.54195595169,1,11,FALSE,FALSE,FALSE,NA
1,11,45,16,1050.21665518793,1312.66977542297,1,11,FALSE,FALSE,FALSE,NA
1,11,46,18,1118.83379173277,818.818616654113,1,11,FALSE,FALSE,FALSE,NA
1,11,47,18,1527.28342723764,1191.77469011633,1,11,FALSE,FALSE,FALSE,NA
1,11,48,18,1196.38100715935,1085.34681143047,1,11,FALSE,FALSE,FALSE,NA
1,11,49,18,1515.8735653162,1250.25828657735,1,11,FALSE,FALSE,FALSE,NA
1,11,50,19,1319.4189886316,1431.42318194883,1,11,FALSE,FALSE,FALSE,NA
1,11,51,21,1603.88472340469,1780.14613177949,1,11,FALSE,FALSE,FALSE,NA
1,11,52,21,1595.69931188614,1714.85148792491,1,11,FALSE,FALSE,FALSE,NA
1,11,53,23,1431.97381204449,1199.27200611885,1,11,FALSE,FALSE,FALSE,NA
1,11,54,23,1762.79868322384,749.286699345706,1,11,FALSE,FALSE,FALSE,NA
1,11,55,23,1666.36344468125,1282.24006344224,1,11,FALSE,FALSE,FALSE,NA
1,12,4,1,1474.25620741753,1516.39056316706,2,2,FALSE,FALSE,FALSE,NA
1,12,5,1,1444.3313852092,1453.17304960665,2,2,FALSE,FALSE,FALSE,NA
1,12,9,4,1514.82197541196,1591.48941738446,2,6,FALSE,FALSE,FALSE,NA
1,12,13,4,1433.50117644731,1748.94270948081,2,8,FALSE,FALSE,FALSE,NA
1,12,14,5,1329.87624723156,1488.47337762524,2,8,FALSE,FALSE,FALSE,NA
1,12,16,4,1648.26447156108,1574.47429117602,2,9,FALSE,FALSE,FALSE,NA
1,12,17,5,1590.3274378687,1469.54991664828,1,9,FALSE,FALSE,FALSE,NA
1,12,18,5,1523.86997877857,1195.65935414681,2,9,FALSE,FALSE,FALSE,NA
1,12,19,5,1540.24026513888,1459.58941649654,2,9,FALSE,FALSE,FALSE,NA
1,12,20,7,1335.95661400001,1901.85688895907,2,9,FALSE,FALSE,FALSE,NA
1,12,22,9,769.761206551756,776.365576737845,2,9,FALSE,FALSE,FALSE,NA
1,12,23,9,1506.55706017366,1234.37453867278,2,9,FALSE,FALSE,FALSE,NA
1,12,24,9,1852.2622422083,1199.0706984636,2,9,FALSE,FALSE,FALSE,NA
1,12,27,9,1562.29359134906,1812.09677157641,2,10,FALSE,FALSE,FALSE,NA
1,12,28,11,1345.75067272737,1461.59030285179,2,10,FALSE,FALSE,FALSE,NA
1,12,29,11,1717.86553589625,1613.73738089727,2,10,FALSE,FALSE,FALSE,NA
1,12,31,15,1175.60763360288,1633.56068106508,2,10,FALSE,FALSE,FALSE,NA
1,12,32,15,838.081226707965,1909.13830550844,2,10,FALSE,FALSE,FALSE,NA
1,12,33,15,1294.4151803067,1503.45629184798,2,10,FALSE,FALSE,FALSE,NA
1,12,34,15,940.138917545973,1788.54211326201,2,10,FALSE,FALSE,FALSE,NA
1,12,35,5,1170.25782702463,342.791347482422,2,11,FALSE,FALSE,FALSE,NA
1,12,36,9,384.366269221173,239.620556986075,2,11,FALSE,FALSE,FALSE,NA
1,12,37,13,1422.30916093061,1849.34654948884,1,11,FALSE,FALSE,FALSE,NA
1,12,38,13,1287.25693556636,1641.49597060798,1,11,FALSE,FALSE,FALSE,NA
1,12,39,13,1396.19986844687,1652.8641633748,2,11,FALSE,FALSE,FALSE,NA
1,12,40,15,1267.03688692181,1845.87540310615,2,11,FALSE,FALSE,FALSE,NA
1,12,42,15,857.374111223109,2143.12329856366,2,11,FALSE,FALSE,FALSE,NA
1,12,43,15,1341.40530980665,1507.36224275593,2,11,FALSE,FALSE,FALSE,NA
1,12,44,15,942.356843986241,2269.75357015423,2,11,FALSE,FALSE,FALSE,NA
1,12,45,16,1086.75765330928,1361.51444860359,2,11,FALSE,FALSE,FALSE,NA
1,12,46,18,1118.83379173277,818.818616654113,1,11,FALSE,FALSE,FALSE,NA
1,12,47,18,1527.28342723764,1191.77469011633,1,11,FALSE,FALSE,FALSE,NA
1,12,48,18,1214.45104694875,1151.3887811038,2,11,FALSE,FALSE,FALSE,NA
1,12,49,18,1508.13272980284,1342.24573396543,2,11,FALSE,FALSE,FALSE,NA
1,12,52,21,1595.69931188614,1714.85148792491,1,11,FALSE,FALSE,FALSE,NA
1,12,53,23,1507.89616090325,1114.10002903087,2,11,FALSE,FALSE,FALSE,NA
1,12,54,23,1763.09118518469,750.078965180192,2,11,FALSE,FALSE,FALSE,NA
1,12,55,23,1691.20767696955,1158.69168230931,2,11,FALSE,FALSE,FALSE,NA
1,12,56,4,1939.6742211213,1937.19484198448,1,12,FALSE,FALSE,FALSE,NA
1,12,57,4,1586.990124016,1580.19425665646,1,12,FALSE,FALSE,FALSE,NA
1,12,58,4,1488.31659307457,1389.08034961279,1,12,FALSE,FALSE,FALSE,NA
1,12,59,4,1962.18921361036,1214.01884925541,1,12,FALSE,FALSE,FALSE,NA
1,12,60,9,1481.458562072,1383.85123611664,1,12,FALSE,FALSE,FALSE,NA
1,12,61,9,1571.60355424192,1488.38174757271,1,12,FALSE,FALSE,FALSE,NA
1,12,62,14,1697.29270090019,991.117648436071,1,12,FALSE,FALSE,FALSE,NA
1,12,63,14,1326.54005516268,1487.07015999719,1,12,FALSE,FALSE,FALSE,NA
1,12,64,16,891.056634717625,1450.83287801359,1,12,FALSE,FALSE,FALSE,NA
1,12,65,18,1516.91660664739,1235.63883786274,1,12,FALSE,FALSE,FALSE,NA
1,12,66,18,1494.45502564861,1171.25550759698,1,12,FALSE,FALSE,FALSE,NA
1,12,67,20,1441.30269272823,1968.42092807692,1,12,FALSE,FALSE,FALSE,NA
1,12,68,22,859.626762644227,569.817857241201,1,12,FALSE,FALSE,FALSE,NA
1,12,69,22,849.279851562505,806.758408638305,1,12,FALSE,FALSE,FALSE,NA
1,12,70,24,2297.36820885122,1526.03476632157,1,12,FALSE,FALSE,FALSE,NA
1,12,71,24,1849.39347583028,1178.60152434776,1,12,FALSE,FALSE,FALSE,NA
1,12,72,25,1494.22625633415,1727.22775703844,1,12,FALSE,FALSE,FALSE,NA
1,12,73,27,1767.89002853483,2643.20676377784,1,12,FALSE,FALSE,FALSE,NA
1,12,74,27,1860.44795715514,2035.18624902165,1,12,FALSE,FALSE,FALSE,NA
1,12,75,28,1354.36262141225,1310.0563288652,1,12,FALSE,FALSE,FALSE,NA
1,12,76,32,1102.13032395619,2150.84065018228,1,12,FALSE,FALSE,FALSE,NA
1,12,77,34,852.689741711903,1731.30179169804,1,12,FALSE,FALSE,FALSE,NA
1,13,4,1,1474.25620741753,1516.39056316706,2,2,FALSE,FALSE,FALSE,NA
1,13,13,4,1433.50117644731,1748.94270948081,2,8,FALSE,FALSE,FALSE,NA
1,13,14,5,1329.87624723156,1488.47337762524,2,8,FALSE,FALSE,FALSE,NA
1,13,17,5,1589.12725087032,1494.74703179027,2,9,FALSE,FALSE,FALSE,NA
1,13,19,5,1540.24026513888,1459.58941649654,2,9,FALSE,FALSE,FALSE,NA
1,13,20,7,1335.95661400001,1901.85688895907,2,9,FALSE,FALSE,FALSE,NA
1,13,22,9,769.761206551756,776.365576737845,2,9,FALSE,FALSE,FALSE,NA
1,13,23,9,1506.55706017366,1234.37453867278,2,9,FALSE,FALSE,FALSE,NA
