"model","final_abundance_ratio","final_abundance_reduction","eradication_change","radius_ratio"
"INApestMetaPoint",0.0473208072372999,0.9526791927627,0.44,0.267634832355934
"INApestPointTransitionMatrix",0.088495575221239,0.911504424778761,0.3,0.20651688372572
