farm_id,size_ha,bef_nos,shp_nos,postal_twn,locality,postal_cod,farm_type,sheep_or_beef,X,Y,Avg_EI,Probability_Estab
MB00372,10.04,0,25,Seddon,Ward,7285,SHP,1,174.13346688073506,-41.8297398,44,0.8400000000000001
MB00373,1304.2,53,2200,Blenheim,Renwick,7276,SHP,1,173.683683947715,-41.691904949999994,23.833333333333332,0.6355555555555555
MB00374,2891.75,256,4000,Blenheim,Renwick,7276,BEF,1,173.44264243956218,-41.83806860000001,6.2,0.1653333333333333
MB00379,1822.22,265,4250,Blenheim,Blenheim,7271,SNB,1,173.24374134039903,-41.688823299999996,11,0.29333333333333333
MB00383,2783.65,60,5125,Blenheim,Blenheim,7271,SHP,1,173.42501600700638,-41.654484499999995,13.857142857142858,0.3695238095238095
MB00386,1300.92,97,765,NA,Ward,NA,SNB,1,174.01568081584026,-41.86078205,29.4,0.7839999999999999
MB00387,145.76,292,93,Seddon,Seddon,7285,BEF,1,174.09206610582513,-41.742507399999994,31,0.8028571428571429
MB00389,210.45,183,0,Picton,Blenheim,7220,BEF,1,173.9477512406192,-41.5705299,29.5,0.7866666666666666
MB00391,748.66,450,1720,Blenheim,Blenheim,7271,SNB,1,173.58767217768508,-41.54146364999999,20,0.5333333333333333
MB00393,258.18,0,500,Seddon,Seddon,7285,SHP,1,174.166188033271,-41.79855635,35.5,0.8157142857142857
MB00399,10.55,9,60,Blenheim,Picton,7273,BEF,1,173.97318030377707,-41.3185261,10,0.26666666666666666
MB00400,811.62,183,0,Blenheim,Blenheim,7201,BEF,1,174.0224100242408,-41.55680625,30.666666666666668,0.8019047619047619
MB00401,185.33,206,1740,Blenheim,Renwick - Wairau Valley,7271,SNB,1,173.6185971629929,-41.541949749999986,21,0.56
MB00403,639.39,265,2200,Ward,Ward,7248,SNB,1,174.16409422679988,-41.84173,43.5,0.8385714285714286
MB00405,1213.03,235,3700,Blenheim,Wairau Valley,7271,SNB,1,173.60942748359025,-41.59452040000001,25.4,0.6773333333333332
MB00407,2776.2,400,0,Waihopi Valley,Blenheim,7276,BEF,1,173.73565379322764,-41.691455399999995,20.166666666666668,0.5377777777777778
MB00408,1131.77,70,163,Ward,Ward,7248,SNB,1,174.0825713836066,-41.882088499999995,38.333333333333336,0.8238095238095239
MB00411,26.56,39,0,Blenheim,Ward,7271,SNB,1,174.1410448732062,-41.79825724999999,38.5,0.8242857142857143
MB00413,1926.03,334,5080,Blenheim,Seddon,7240,SNB,1,173.8291812473359,-41.85169305,24.5,0.6533333333333333
MB00417,675,150,2540,Seddon,Ward,7285,SNB,1,174.07879544492738,-41.8441035,39.333333333333336,0.8266666666666668
MB00419,308.52,157,2010,Seddon,Seddon,7285,SNB,1,174.15337292238118,-41.75675135,28.666666666666668,0.7644444444444445
MB00425,90.24,26,650,Seddon,Seddon,7210,SHP,1,174.09161267876857,-41.700189249999994,32,0.8057142857142857
MB00429,186.09,0,1488,Seddon,Seddon,7285,SHP,1,173.89914734079252,-41.74238475,31.666666666666668,0.8047619047619048
MB00439,356,103,686,Blenheim,Blenheim,7274,SNB,1,173.9743632559734,-41.5886199,29.666666666666668,0.7911111111111111
MB00441,244,174,815,Blenheim,Blenheim,7272,SNB,1,173.80234540883725,-41.5862343,30,0.8
MB00443,29.04,15,10,Blenheim,Blenheim,7272,SNB,1,173.8227422167668,-41.56194735,30,0.8
MB00444,186.71,0,0,Blenheim,Blenheim,7276,BEF,1,173.75981061907032,-41.5591584,30.5,0.8014285714285715
MB00447,17.65,19,196,Seddon,Ward,7285,SNB,1,174.12533692805266,-41.81534635,44,0.8400000000000001
MB00450,30.2,0,300,Auckland,Blenheim,1050,SHP,1,173.87717694194964,-41.542982249999994,31,0.8028571428571429
MB00453,402,101,3730,Seddon,Seddon,7285,SNB,1,174.0049823634786,-41.71079935,32.333333333333336,0.8066666666666668
MB00454,545.81,228,1100,Blenheim,Blenheim,7272,SNB,1,173.80332226022026,-41.60988295000001,28.75,0.7666666666666666
MB00456,4.71,13,0,Blenheim,Onamalutu,7275,BEF,1,173.7453716413206,-41.46918205,6,0.16
MB00457,318.15,0,800,Seddon,Seddon,7285,SHP,1,174.07086868135735,-41.706388649999994,30.75,0.8021428571428572
MB00460,482.82,373,200,Blenheim,Wairau Valley,7272,SNB,1,173.35240245277242,-41.64831985000001,18.5,0.4933333333333333
MB00461,513.4,93,1820,Ward,Ward,7248,SNB,1,174.00045403313624,-41.8894109,31.75,0.805
MB00465,780,580,410,Blenheim,Blenheim,7274,SNB,1,174.00088662127547,-41.6352971,32,0.8057142857142857
MB00469,68.25,150,4,Blenheim,Wairau Valley,7201,BEF,1,173.49147615535168,-41.586515250000005,17,0.4533333333333333
MB00470,44.73,64,800,Blenheim,Blenheim,7271,BEF,1,173.52583115100182,-41.57393114999999,33,0.8085714285714286
MB00474,938,77,700,Blenheim,Blenheim,7273,SNB,1,173.86711958730797,-41.40586975000001,13.2,0.352
MB00477,122.81,9,174,Blenheim,Renwick,7273,SHP,1,173.76569994147985,-41.46329945,18,0.48
MB00479,168.19,14,1200,Seddon,Marborough,7285,SHP,1,174.17536716643951,-41.74511595,26.5,0.7066666666666666
MB00492,56.4,59,0,Blenheim,Wairau Valley,7271,BEF,1,173.4640608207011,-41.58405020000001,17,0.4533333333333333
MB00500,4.8,20,12,Blenheim,Mt Pleasant,7273,BEF,1,173.97094446089062,-41.32087585,10,0.26666666666666666
MB00505,161,10,1500,Ward,Ward,7248,SHP,1,174.1407406165252,-41.835712799999996,43.5,0.8385714285714286
MB00510,416,44,1900,Seddon,Seddon,7285,SHP,1,174.20639156275976,-41.732281799999996,25,0.6666666666666665
MB00511,117.12,0,100,Renwick,Wairau Valley,7204,SHP,1,173.7857084694183,-41.582374,32,0.8057142857142857
MB00514,161.77,30,900,Blenheim,Seddon,7273,SNB,1,173.94143399208838,-41.7135018,33,0.8085714285714286
MB00515,208,175,620,Blenheim,Blenheim,7273,SNB,1,174.10891329239035,-41.6024922,34.57142857142857,0.813061224489796
MB00516,27,0,275,Blenheim,Wairau Valley,7271,SNB,1,173.66859160863552,-41.53694335000001,26,0.6933333333333332
MB00518,8.58,8,10,Blenheim,Blenheim,7276,BEF,1,173.52239339037703,-41.6819893,26,0.6933333333333332
MB00527,257,10,1700,Blenheim,Ward,7273,SHP,1,174.14311943036284,-41.8193175,43.5,0.8385714285714286
MB00532,177.06,25,992,Seddon,Malborough,7285,SHP,1,173.96555638565826,-41.70872874999999,33,0.8085714285714286
MB00536,6058.7,228,7450,Auckland,Blenheim,1050,SHP,1,173.51728822001562,-41.70132379999999,20.5,0.5466666666666666
MB00545,294.45,31,1413,Seddon,Seddon,7285,SNB,1,174.0195640761685,-41.7288522,31,0.8028571428571429
MB00549,457.5,0,2500,NA,Blenheim,NA,SHP,1,174.16811985922018,-41.77201295,28,0.7466666666666666
MB00567,37.2,0,200,Blenheim,Seddon,7201,SHP,1,174.137935306401,-41.6664533,30,0.8
MB00569,9.13,6,40,Blenheim,Wairau Valley,7271,SNB,1,173.5801707937374,-41.5516619,19,0.5066666666666666
MB00574,443.5,124,175,Woodville,St Andrews,4997,BEF,1,174.1282945903289,-41.70999284999999,29.5,0.7866666666666666
MB00575,8,20,0,Blenheim,Blenheim,7272,BEF,1,173.9088142209506,-41.52934929999999,30,0.8
MB00578,76.97,17,540,Blenheim,Wairau Valley,7271,SNB,1,173.4773966736025,-41.58154475,17,0.4533333333333333
MB00579,249.99,0,175,Picton,Picton,7250,SHP,1,174.08549291571035,-41.3289691,6,0.16
MB00584,268.53,42,810,Seddon,Seddon,7247,SNB,1,174.05600495743664,-41.733991399999994,32,0.8057142857142857
MB00585,74.72,15,40,Blenheim,Blenheim,7274,BEF,1,173.82866515068224,-41.77146210000001,28,0.7466666666666666
MB00587,95.8,0,750,NA,Seddon,NA,SHP,1,174.1478270724911,-41.76474885,30.5,0.8014285714285715
MB00590,4.06,14,6,Blenheim,Blenheim,7274,BEF,1,173.9733469076136,-41.52542340000001,28,0.7466666666666666
MB00592,12.5,14,0,NA,Blenheim,NA,BEF,1,173.57174032631926,-41.554395449999994,33,0.8085714285714286
MB00626,376.94,145,962,Marlborough,Blenheim,7285,SHP,1,174.18519102151924,-41.833322949999996,43,0.8371428571428572
MB00637,41.43,42,150,Blenheim,Riverlands,7274,SNB,1,173.99637162062533,-41.52182555,28.5,0.76
MB00638,300.14,0,300,Seddon,Seddon,7285,SNB,1,174.11660333287043,-41.768990200000005,34,0.8114285714285715
MB00647,145.54,12,343,Seddon,Seddon,7247,SNB,1,174.0955649405464,-41.6593927,30.5,0.8014285714285715
MB00650,3.8,0,19,Blenheim,Blenheim,7201,SHP,1,173.96851294223308,-41.53658754999999,28,0.7466666666666666
MB00660,7.99,3,6,Blenheim,Fairhall,7272,SNB,1,173.8962953354805,-41.5529775,29,0.7733333333333333
MB00661,20.96,3,0,Blenheim,Blenheim,7276,BEF,1,173.82949836312162,-41.55040819999999,31.5,0.8042857142857144
MB00675,513.36,113,850,Seddon,Seddon,7285,SNB,1,174.04753649261295,-41.75847595,32.5,0.8071428571428572
MB00684,422.02,340,1234,Ward,Ward,7248,SNB,1,174.1083224692697,-41.873681399999995,39.5,0.8271428571428572
MB00688,14.8,22,0,Blenheim,Blenheim,7273,BEF,1,173.93427411945464,-41.36828565,10,0.26666666666666666
MB00693,191.58,40,0,Blenheim,Blenheim,7271,BEF,1,173.78810655068702,-41.6185325,31.333333333333332,0.8038095238095239
MB00695,400.55,102,2216,Seddon,Seddon,7285,SHP,1,173.98763312815964,-41.7271815,32,0.8057142857142857
MB00703,2.27,0,100,NA,Renwick,NA,SHP,1,173.81697863352832,-41.50980444999999,33,0.8085714285714286
MB00707,219.79,80,0,Blenheim,Blenheim,7201,BEF,1,173.68248931017428,-41.52858825,25.25,0.6733333333333333
MB00710,416.86,95,1170,Blenheim,Blenheim,7272,SNB,1,173.59179049405697,-41.7480413,14.333333333333334,0.38222222222222224
MB00718,8.14,15,0,Blenheim,Blenheim,7273,BEF,1,174.03761811415131,-41.5236534,29,0.7733333333333333
MB00721,2142.33,10,680,Blenheim,Wairau Valley,7273,SHP,1,173.7080877816169,-41.56723375,31,0.8028571428571429
MB00723,95.84,118,55,Seddon,Seddon,7285,SNB,1,174.11582074869636,-41.721529849999996,31,0.8028571428571429
MB00747,18.2,18,30,Blenheim,Blenheim,7273,BEF,1,173.9949641284033,-41.53685929999999,28,0.7466666666666666
MB00761,16,85,0,NA,Ward,NA,BEF,1,174.15339811506152,-41.81133095,43.5,0.8385714285714286
MB00763,861.11,135,2030,Blenheim,Wairau Valley,7271,SNB,1,173.37713369998937,-41.639724599999994,15.5,0.4133333333333333
MB00766,120.97,517,70,Christchurch,Dashwood,8014,BEF,1,174.1132662735943,-41.608847850000004,37,0.8200000000000001
MB00771,4.29,0,20,Blenheim,Picton,7273,SHP,1,173.97620871560306,-41.316798399999996,10,0.26666666666666666
MB00776,12.07,3,41,Blenheim,Picton,7273,SHP,1,173.98089497554201,-41.311751099999995,10,0.26666666666666666
MB00791,421,15,1570,Seddon,Seddon,7285,SHP,1,174.1576305810848,-41.69360575,28,0.7466666666666666
