farm_id,size_ha,bef_nos,shp_nos,postal_twn,locality,postal_cod,farm_type,X,Y,Avg_EI,CNGpresent,CNGclose,sheep_or_beef_or_CNG,Probability_Estab
HS00096,394,471,4060,Napier,Napier,4181,SNB,176.94941707887875,-39.28878130000001,14,0,0,1,0.35
HS00097,1031.7,838,4642,Tutira,Tutira,4162,SNB,177.00669552946204,-39.151500350000006,10,0,0,1,0.25
HS00098,446.4,616,1645,Tutira,Tutira,4162,BEF,176.93973871305758,-39.22255385000001,9.333333333333334,0,0,1,0.23333333333333336
HS00099,381.9,314,2165,Tutira,Tutira,4162,SNB,176.92441173879087,-39.22605,11,0,0,1,0.275
HS00100,600,500,0,Napier,Putorino,4188,SHP,177.06943690498554,-39.168458900000005,15.5,0,0,1,0.3875
HS00103,127.1,73,64,Napier,Napier,4181,BEF,176.93097376222283,-39.33246625,24.5,0,0,1,0.6125
HS00104,537,270,2980,Napier,Napier,4181,SNB,176.86845517763663,-39.288401750000006,8.75,0,0,1,0.21875
HS00105,746,646,4200,Tutira,Tutira,4162,SNB,176.8532123149135,-39.20308395,11.5,0,0,1,0.2875
HS00106,340.7,242,3325,Tutira,Tutira,4162,BEF,176.906327511523,-39.19897555,14,0,0,1,0.35
HS00109,509.4,395,2530,Tutira,Putorino,4162,SNB,176.92430882904708,-39.128911249999994,6.25,0,0,1,0.15625
HS00110,388.4,109,1285,Tutira,Tutira,4162,SNB,176.95629938807457,-39.09958315,7,0,0,1,0.175
HS00111,548,319,2680,Kotemaori,Putorino,4188,SNB,176.93735996105912,-39.11555369999999,7,0,0,1,0.175
HS00116,907.88,247,4100,Napier,Eskdale,4110,SNB,176.79523096910788,-39.34422215000001,9.5,0,0,1,0.2375
HS00118,616.3,424,1563,Napier,Tangoio,4181,SNB,176.9309005073921,-39.3183212,18,0,0,1,0.45
HS00120,349,152,1765,Napier,Eskdale,4181,SNB,176.8225230264582,-39.362478849999995,11,0,0,1,0.275
HS00123,1133.9,385,4970,Napier,Te Pohue,4182,SNB,176.75483292007533,-39.290128399999986,7.5,0,0,1,0.1875
HS00124,573.2,375,2329,Napier,Eskdale,4110,BEF,176.80812595991284,-39.39412055,26,0,0,1,0.65
HS00128,459.8,215,1683,Napier,Napier,4182,SNB,176.867050928374,-39.360572149999996,15.5,0,0,1,0.3875
HS00129,319.7,113,925,Napier,Tutira,4142,SNB,176.867616830337,-39.24988915,10.5,0,0,1,0.2625
HS00130,18.7,51,0,NA,Hastings,NA,SNB,176.8415109324989,-39.61268894999999,39,0,0,1,0.975
HS00132,787.1,374,3910,Napier,Tutira,4181,SNB,176.90798248142858,-39.166363000000004,7.25,0,0,1,0.18125
HS00135,770,700,2495,Hastings,Hastings,4171,SNB,176.4805231094187,-39.6219134,17.25,0,0,1,0.43125
HS00137,2432.7,1783,10800,Hastings,Kereru,4171,SNB,176.36311013929242,-39.5987745,10.833333333333334,0,0,1,0.27083333333333337
HS00139,990,974,1990,Hastings,Kereru,4171,SNB,176.49688211229463,-39.65131885,8.5,0,0,1,0.2125
HS00142,287.1,103,1556,Hastings,Hastings,4171,SNB,176.4487204070844,-39.610017299999996,16,0,0,1,0.4
HS00144,1085.32,1019,5891,Napier,Napier,4182,SNB,176.80869881165023,-39.454437,26,110,248,1,0.65
HS00145,6.51,0,50,Napier,Eskdale,4181,SHP,176.82016204666667,-39.422898149999995,24,103,103,1,0.6
HS00146,88.7,100,0,Hastings,Hastings,4179,BEF,176.64287520407595,-39.46192644999999,21,0,0,1,0.525
HS00147,556.7,212,1525,Napier,Patoka,4186,SNB,176.5500642116346,-39.359564899999995,18,0,0,1,0.45
HS00150,295.3,320,570,Napier,Patoka,4186,SNB,176.5553956886919,-39.408415149999996,14,0,0,1,0.35
HS00155,1233.8,766,7691,Napier,Patoka,4186,SNB,176.65069221335847,-39.3700699,10,0,0,1,0.25
HS00158,89.5,227,707,Hastings,Hastings,4174,BEF,176.62241287655564,-39.766586149999995,33.5,0,0,1,0.8375
HS00159,465,375,0,Hastings,Hastings,4171,BEF,176.5290738107958,-39.6213673,25.2,0,0,1,0.63
HS00160,64,0,155,Hastings,Havelock North,4120,SHP,176.7953617870373,-39.77290495,29,0,0,1,0.725
HS00161,951,400,2525,Hastings,Hastings,4171,SNB,176.47236107655021,-39.6083244,20.5,0,0,1,0.5125
HS00162,850.37,426,5400,Hastings,Matapiro,4179,SNB,176.6508796152366,-39.6272048,33,0,0,1,0.825
